time;direction;DLC;;id
0.000000;;;;
0.008923;Rx;8;00 00 00 00 02 00 00 02;18
0.017042;Rx;8;25 03 00 00 00 00 00 28;258
0.017292;Rx;8;00 00 00 00 00 00 00 00;259
0.017540;Rx;8;B2 20 00 00 00 00 00 D2;260
0.017788;Rx;8;10 27 00 00 00 00 00 37;261
0.018079;Rx;8;00 07 E7 03 9C 0F C2 0F;417333248x
0.018365;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.029914;Rx;8;00 00 00 00 02 00 00 02;18
0.036427;Rx;8;22 FF FF FF FF FF FF FF;516
0.036667;Rx;8;C6 0F 12 B0 0F 05 00 00;517
0.036913;Rx;8;38 01 37 02 00 00 00 00;518
0.041998;Rx;8;25 03 00 00 00 00 00 28;258
0.042248;Rx;8;00 00 00 00 00 00 00 00;259
0.042496;Rx;8;B2 20 00 00 00 00 00 D2;260
0.042744;Rx;8;10 27 00 00 00 00 00 37;261
0.043026;Rx;8;00 07 E7 03 AD 0F C5 0F;417333248x
0.043312;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.050914;Rx;8;00 00 00 00 02 00 00 02;18
0.057131;Rx;8;25 03 00 00 00 00 00 28;258
0.057381;Rx;8;00 00 00 00 00 00 00 00;259
0.057629;Rx;8;B2 20 00 00 00 00 00 D2;260
0.057877;Rx;8;10 27 00 00 00 00 00 37;261
0.058161;Rx;8;00 07 E7 03 C4 0F C5 0F;417333248x
0.058447;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.077197;Rx;8;25 03 00 00 00 00 00 28;258
0.077447;Rx;8;00 00 00 00 00 00 00 00;259
0.077695;Rx;8;B2 20 00 00 00 00 00 D2;260
0.077943;Rx;8;10 27 00 00 00 00 00 37;261
0.078231;Rx;8;00 07 E7 03 CE 0F C2 0F;417333248x
0.078517;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.081907;Rx;8;02 00 00 00 29 00 CB 02;785
0.084921;Rx;8;00 00 00 00 02 00 00 02;18
0.091909;Rx;8;00 00 3C 37 00 00 00 00;274
0.097246;Rx;8;25 03 00 00 00 00 00 28;258
0.097496;Rx;8;00 00 00 00 00 00 00 00;259
0.097744;Rx;8;B2 20 00 00 00 00 00 D2;260
0.097992;Rx;8;10 27 00 00 00 00 00 37;261
0.098286;Rx;8;00 07 E7 03 E0 0F C2 0F;417333248x
0.098573;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.101915;Rx;8;01 00 00 00 00 00 00 00;275
0.105913;Rx;8;00 00 00 00 02 00 00 02;18
0.117305;Rx;8;25 03 00 00 00 00 00 28;258
0.117555;Rx;8;00 00 00 00 00 00 00 00;259
0.117804;Rx;8;B2 20 00 00 00 00 00 D2;260
0.118052;Rx;8;10 27 00 00 00 00 00 37;261
0.118342;Rx;8;00 07 E7 03 F1 0F C2 0F;417333248x
0.118628;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.126912;Rx;8;00 00 00 00 02 00 00 02;18
0.135282;Rx;8;03 03 01 02 00 00 00 00;771
0.135527;Rx;8;18 04 1C 00 00 16 02 00;770
0.135759;Rx;8;02 54 51 4C 30 30 31 47;772
0.136659;Rx;8;00 00 C8 00 00 00 07 CF;513
0.136907;Rx;8;08 01 00 00 00 00 00 09;514
0.137145;Rx;8;82 C4 4F F1 03 FB E4 3E;515
0.138385;Rx;8;25 03 00 00 00 00 00 28;258
0.138636;Rx;8;00 00 00 00 00 00 00 00;259
0.138884;Rx;8;B2 20 00 00 00 00 00 D2;260
0.139132;Rx;8;10 27 00 00 00 00 00 37;261
0.139422;Rx;8;00 07 E7 03 00 10 C2 0F;417333248x
0.139708;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.147910;Rx;8;00 00 00 00 02 00 00 02;18
0.155892;Rx;8;50 35 15 32 33 00 00 00;791
0.157386;Rx;8;25 03 00 00 00 00 00 28;258
0.157636;Rx;8;00 00 00 00 00 00 00 00;259
0.157884;Rx;8;B2 20 00 00 00 00 00 D2;260
0.158132;Rx;8;10 27 00 00 00 00 00 37;261
0.158413;Rx;8;00 07 E7 03 12 10 C5 0F;417333248x
0.158699;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.168916;Rx;8;00 00 00 00 02 00 00 02;18
0.177449;Rx;8;25 03 00 00 00 00 00 28;258
0.177699;Rx;8;00 00 00 00 00 00 00 00;259
0.177947;Rx;8;B2 20 00 00 00 00 00 D2;260
